,Nome da empresa,Estado base,Segmento de atuação,Grau de maturidade,Descrição da empresa,Telefone,E-mail
79,AeroRiver,Amazonas,Logística e Mobilidade,Protótipo,"A Aeroriver está projetando um ecranoplano adaptado às condições operacionais do território amazônico, batizado de Volitan. Esse veículo terá a capacidade de transporte de 10 passageiros, ou o equivalente a 1 tonelada em carga, com uma velocidade de cruzeiro de 150 km/h (3 vezes mais rápido que as lanchas mais velozes). Decolagem e pouso serão feitos nos rios, utilizando o casco desenvolvido para esse propósito e com um gasto de combustível próximo ao de um barco.",(92) 99377-6052,https://www.aeroriver.com.br/
80,Solalis - barcos elétricos,Amazonas,Logística e Mobilidade,Protótipo,"A empresa ainda desenvolve infraestrutura de eletropostos solares flutuantes, postos de carregamento equipados com painéis fotovoltaicos que abastecem os barcos com energia e trazem segurança energética aos lugares remotos.",(92) 99974-1076,LinkedIn: https://www.linkedin.com/company/solalis-barcos-eletricos/
81,Fisggar,Amazonas,Moda e Ecodesign,Protótipo,"A plataforma conecta pescadores amadores e profissionais, de forma simplificada, com operadores de turismo náutico e pesca esportiva.",(92) 8188-8401,Instagram: https://www.instagram.com/fisggar/
82,Sioduhi Studio,Amazonas,Moda e ecodesign,Protótipo,"A Sioduhi Studio usa um corante natural têxtil biodegradável feito à base de mandioca para diminuir os impactos negativos dos corantes sintéticos e agregar valor social, cultural e ambiental à indústria têxtil e da moda.",(11) 91291-8171,Instagram: https://www.instagram.com/sioduhistudio/
83,Amazonzyme,Amazonas,Químicos e Novos Materiais,Protótipo,"A Amazonzyme desenvolveu a Lipase TPI, uma enzima obtida geneticamente de Terra Preta Indígena da Amazônia que pode substituir componentes químicos de detergentes e cosméticos, aumentando a qualidade e a eficiência, além de agregar valor ecológico aos produtos.",,Linkedin:  https://www.linkedin.com/company/amazonzyme/
84,Befer Agroindustrial e comercial Ltda,Amazonas,Químicos e Novos Materiais,Protótipo,"Através de pesquisa e desenvolvimento, a Befer busca ser um referencial na geração de soluções inovadoras ecológicas por meio de materiais sustentáveis. Para isso, a empresa conta com equipe e rede de contatos especializadas e engajadas na ideia, produtos e processos sustentáveis e uma estrutura para testagem, prototipagem e experiência mercadológica.",(51) 99943-0590,Instagram: https://www.instagram.com/beferseas/
85,Bioplazon,Amazonas,Químicos e Novos Materiais,Protótipo,"A Bioplazon produz embalagens biodegradáveis, baseadas na economia circular, utilizando  subprodutos da produção amazônica. Para agregar valor a esse subproduto, a startup extrai a matéria-prima, adiciona nanotecnologia para melhorar suas propriedades mecânicas e produz as bioembalagens.",(21) 99570-7906,Instagram: https://www.instagram.com/bioplazon/
86,Chemical Treinamento e Inovação Tecnológica,Amazonas,Químicos e Novos Materiais,Operação,"A startup desenvolveu o aplicativo Marai, que mensura a qualidade da água. A tecnologia é disponibilizada de duas formas: por meio de assinatura para atender a indústrias, órgãos fiscalizadores e profissionais ambientais na realização de diagnósticos seguros e práticos; por meio de acesso liberado para a sociedade, a fim de ser um instrumento de ensino e educação ambiental.",(92) 99505-4005,Facebook: https://www.facebook.com/Chemical-Treinamento-e-Inovação-Tecnológica-LTDA-106334161545408
87,Complazon,Amazonas,Químicos e novos materiais,Protótipo,"A Complazon oferece uma solução sustentável no ramo de embalagens biodegradáveis e ecológicas, utilizando matérias-primas renováveis e gerando pellets para fornecer às indústrias.",(92) 99984-7630,http://linkedin.com/in/compósitos-plásticos-da-amazônia-complazon-5a1385244
88,Oka biotecnologia,Amazonas,Químicos e novos materiais,Tração,"As embalagens descartáveis retroalimentam o ciclo da natureza. Depois do uso, o produto se decompõe e nutre a terra. Retalhos que sobram da produção substituem os terríveis isopores que protegem certos tipos de produtos. Tudo é utilizado e depois volta para a natureza em forma de composto, gerando impacto positivo.",(14) 98142-1806,http://instagram.com/okabioembalagens
89,TerraMares,Amazonas,Agricultura e Aquicultura,Tração,"A TerraMares é uma biotech que conecta produtores e empresas às tecnologias de microalgas para o agronegócio. As principais áreas de atuação da startup são no desenvolvimento de bioinsumos, Pesquisa, Desenvolvimento e Inovação (P&DI) e consultoria.",(53) 99164-6134,LinkedIn: https://www.linkedin.com/company/76400881/admin/
90,SELVA - Amazonic Blockchain Ecosystem,Amazonas,Tecnologia da Informação,Protótipo,"Atualmente, existem duas ferramentas no aplicativo da empresa: SELVA Service, um marketplace de ativos naturais amazônicos e Rede SELVA, que captura e padroniza dados e informações a partir da conexão de projetos e produções agrícolas.",(92) 99264-3800,Instagram: https://www.instagram.com/selva.eco/
91,Apys,Maranhão,Agricultura e Aquicultura,Protótipo,"A Apys é uma plataforma inteligente que tem o objetivo de ajudar pequenos e médios criadores de abelhas na aquisição de técnicas avançadas de manejo e no acesso ao mercado. Para isso, disponibiliza capacitação, desenvolvimento e acesso aos canais de venda através de um aplicativo de manejo inteligente, um marketplace segmentado e um portal de conhecimento.",(21) 97029-5334,Facebook: https://www.facebook.com/AppApys
92,Ar Inovações Tecnológicas,Maranhão,Agricultura e Aquicultura,Protótipo,"A empresa realiza monitoramento dos parâmetros de qualidade da água em tempo real para criação de peixes e camarão, além de hiperautomação dos sistemas.",(63) 99914-3954,LinkedIn: https://www.linkedin.com/in/alex-martins-21a4b549/
93,Carnaúba Business,Maranhão,Agricultura e Aquicultura,Ideação,"No mundo, o Brasil é o único que produz a cera da carnaúba, que tem sido empregada em diferentes segmentos pelo mercado, com potencial bioeconômico de comercialização estimado em milhões de reais ao ano. Com isso em mente, a Carnaúba Business visa estruturar o aproveitamento dessa matéria-prima a partir da agricultura familiar e agroextrativista no leste maranhense.",(98) 98544-3380,Instagram: https://www.instagram.com/carnaubama/
94,BioBee MA,Maranhão,Alimentos e Bebidas,Protótipo,"A BioBee MA tem como objetivo de introduzir, no estado maranhense, bebidas com características ligadas à abelha tiúba, a abelha do Maranhão, tendo como produto principal o hidromel, fermentado com leveduras extraídas do próprio mel da abelha.",(98) 99101-4331,Instagram: https://www.instagram.com/biobeema_/
95,Bites Sabores da Amazônia - Amore Confeitaria,Maranhão,Alimentos e Bebidas,Protótipo,"A Bites Sabores da Amazônia transforma os sabores da região em pequenas porções de sabor (os bites) por meio de técnicas de confeitaria. A ideia é levar as características dos frutos típicos ao mundo e oferecer ao cliente a oportunidade de conhecer vários sabores em uma caixinha só, num mix de sabores, texturas e culturas.",(63) 98150-9049,Instagram: https://www.instagram.com/amorepmw/
96,Farm Inbox Ltda,Maranhão,Alimentos e Bebidas,Operação,"O modelo de negócio B2B oferece serviços que melhoram as funções gerenciais de empresas com ofertas estáveis de produtos mais frescos e nutritivos e até 35% mais baratos, devido à menor distância entre a fazenda e a mesa.",(98) 98283-6819,Instagram: https://www.instagram.com/pauloalexandre.fernandes.18/
97,GIN Luar,Maranhão,Alimentos e Bebidas,Operação,"O Luar é, atualmente, o primeiro e único gim produzido no Maranhão. Proveniente da destilação da combinação de bagas de zimbro (Juniperus communis) com botânicos regionalmente maranhenses, a bebida segue padrões fabris preestabelecidos mundialmente, destilado em destiladores de cobre artesanais e em conformidade com os procedimentos regularizados pelo Ministério da Agricultura, Pesca e Abastecimento (MAPA).",(98) 98344-0303,Instagram: https://www.instagram.com/gin.luar/
98,Lab Inova,Maranhão,Alimentos e Bebidas,Protótipo,"O propósito da Lab Inova é realizar análises físicas, químicas e microbiológicas de leite e derivados para produtores do setor.",(98) 98919-9063,labinova2022@gmail.com
99,Meltech Biotecnologia,Maranhão,Alimentos e Bebidas,Ideação,"A Meltech é uma startup cujo objetivo é entregar produtos sem conservantes, naturais e seguros, de modo a melhorar a qualidade de vida das pessoas.",(84) 98703-8663,https://www.instagram.com/yra_hidromel/
100,Bihomun Energy,Maranhão,Bioenergia e Biocombustíveis,Protótipo,A Bihomun Energy realiza a produção de energia para a indústria utilizando rejeitos agrícolas.,(27) 99953-8294,Instagram: https://www.instagram.com/bihomunenergy/
101,Amazon Experiences,Maranhão,Ecoturismo e Floresta,Protótipo,"A meta é expandir e disseminar o uso da plataforma em todos os estados da Amazônia Legal, bem como divulgar e promover o turismo na Região Norte do Brasil, visto que é uma região com amplo potencial turístico.",(63) 99959-0459,Instagram: https://www.instagram.com/amazonexperiences/
102,Bússola Socioambiental,Maranhão,Ecoturismo e Floresta,Protótipo,"O serviço alia a apreciação da natureza à capacitação dos clientes em oficinas de educação ambiental, além de promover consciência sustentável, ecológica e inovadora.",(98) 98123-3130,LinkedIn: https://www.linkedin.com/company/b%C3%BAssola-socioambiental/about/
103,Expert Aplicativos para Organizações,Maranhão,Ecoturismo e Floresta,Protótipo,"Pensando em criar uma solução que gerasse valor para governos e empresas do setor do turismo e com a premissa de preservação dos ecossistemas, a EXPERT desenvolveu o aplicativo TURISMO 4.0, que, além de promover os destinos brasileiros, monitora o fluxo de visitantes nos atrativos turísticos, possibilitando a identificação do seu perfil e o controle da capacidade de carga, gerando ainda informações para o recolhimento de ISSQN para as prefeituras e o investimento no setor.",(99) 98136-0824,Instagram: https://www.instagram.com/expert.app.br/
104,Hidrogel Natural,Maranhão,Ecoturismo e Floresta,Protótipo,"Espera-se que este projeto de produção do hidrogel natural possa representar uma grande vantagem frente aos demais, pois, além de representar uma inovação tecnológica na produção de hidrogéis naturais, pode ainda impulsionar a economia local e o desenvolvimento da região.",(63) 99934-7113,flaviasouzaagrobiental@hotmail.com
105,Hempense,Maranhão,"Fármacos, Fitoterápicos e Nutracêuticos",Protótipo,"Buscando repensar o uso da cannabis no Brasil, a Hempense desenvolve formulações cosméticas e fitoterápicas, além de pesquisas sobre germoplasmas, análises de qualidade e incentivos à conscientização e à educação científica sobre o uso da planta.",(98) 99130-0202,Instagram: https://www.instagram.com/hempense.startup/
106,Instituto Amazônia de Tecnologias Sustentáveis (IAMTEC),Maranhão,"Fármacos, Fitoterápicos e Nutracêuticos",Protótipo,"A IAMTEC é uma empresa de base tecnológica, com atuação principal na pesquisa e desenvolvimento de produtos de biotecnologia voltados para a resolução de problemas e prestação de serviços nas áreas de agricultura, alimentos e cosméticos.",(63) 9844-5503,Facebook: https://www.facebook.com/iamtecdiretoria
107,Memória Ancestral,Maranhão,"Fármacos, Fitoterápicos e Nutracêuticos",Protótipo,"Healthtech focada em investigar plantas medicinais amazônicas com tradição de uso visando ao desenvolvimento de medicamentos fitoterápicos para o doença de Alzheimer. Com modelo B2B, a Memória Ancestral atua com transferência de tecnologia para indústrias e laboratórios de produtos naturais.",(98) 98880-8727,Instagram: https://instagram.com/ancestral.memory?igshid=YmMyMTA2M2Y=
108,QTM Healthtech,Maranhão,"Fármacos, Fitoterápicos e Nutracêuticos",Operação,"Além disso, conta com eixo biotec focado em investigar, computacionalmente, moléculas presentes em plantas medicinais amazônicas, com potencial terapêutico, para o desenvolvimento de medicamentos fitoterápicos para o Doença de Alzheimer. Com modelo B2B, a Memória Ancestral atua com transferência de tecnologia para indústrias, empresas e laboratórios de produtos naturais.",(98) 98331-8460,Instagram: https://instagram.com/qtmhealthtech?utm_medium=copy_link
109,Vitaminas da Amazônia,Maranhão,"Fármacos, Fitoterápicos e Nutracêuticos",Ideação,"O betacaroteno é um suplemento vitamínico importado e de elevado custo para as farmácias de manipulação do Brasil. A solução da Vitaminas da Amazônia é produzir o betacaroteno localmente e vendê-lo em pó e natural em pacotes de 100 gramas, de forma online.",(16) 99744-8869,welitonbatiston@hotmail.com
110,Midas Pet & Life,Maranhão,"Higiene, Perfumaria e Cosméticos",Operação,"Para combater a falha na pelagem de animais, decorrentes de lesões na pele, a Midas Pet & Life elaborou uma fórmula a partir de extratos botânicos de mastruz associados ao óleo de babaçu e criou o Pelonete, sabonete pet que, além de promover o reestabelecimento dos pelos de cães e gatos, promove a higiene e o bem-estar dos pets.",(98) 98115-2885,Instagram:https://www.instagram.com/midaspetlife/
111,Mara SenseS,Maranhão,"Higiene, Perfumaria e Cosméticos",Protótipo,"Com qualidade artesanal, os produtos Mara SenseS são produzidos a partir de substâncias naturais que promovem hidratação profunda da pele, perfumação prolongada e proteção antibacteriana por meio da nanotecnologia.",(98) 98254-5677,Instagram:https://instagram.com/marasenses?utm_medium=copy_link
112,DiamondBigger Supply Chain,Maranhão,Logística e Mobilidade,Operação,"A DiamondBigger oferece serviços, como predição de demanda, sortimento por região, otimização de recursos logísticos e operação de estoque itinerante.",(27) 99953-8294,Instagram: https://www.instagram.com/diamondbigger_/
113,Artesãos de Santa Maria,Maranhão,Moda e Ecodesign,Operação,"Grupo de artesãos que fabricam produtos com a fibra do buriti, tecidos e teares manuais.",(98) 9166-4450,Leinhaaaraujo@gmail.com
114,Biocy - Soluções Ambientais,Maranhão,Químicos e Novos Materiais,Ideação,"A iniciativa, visando promover o desenvolvimento sustentável e alcançar metas da Agenda 2030, incluiu comunidades tradicionais ao longo do processo de obtenção e reutilização de biomassas, auxiliando no acesso à educação, na socialização e na valorização da identidade de tais povos.",(98) 98458-2975,https://linktr.ee/biocy
115,DB Super Materials,Maranhão,Químicos e Novos Materiais,Protótipo,"A DB Super Materials é focada em nacionalizar a produção de diamantes industriais. Além disso, busca incluir no catálogo produtos com “supermateriais”, visando agregá-los à cadeia de materiais.",(27) 99930-6721,https://www.dbiggermaterials.com/
116,EDO Edtech,Maranhão,Tecnologia da Informação,Ideação,"A ideia possibilita aos educadores novas formas de deixar sua metodologia de ensino mais atraente, prendendo a atenção do novo perfil dos alunos, que já possuem contato com a tecnologia.",(98) 98142-4661,Instagram: https://instagram.com/edoedtech?igshid=YmMyMTA2M2Y=
117,Environment Inteligência de Negócios e Tecnologia,Maranhão,Tecnologia da Informação,Operação,Analysis: BI de tomada de decisão sobre impactos ambientais de rodovias e ferrovias na biodiversidade.,(35) 99992-5353,Facebook:https://www.facebook.com/Environbit/
118,Geo Bee AM,Maranhão,Tecnologia da Informação,Ideação,"A solução permitirá que as abelhas tenham melhor aproveitamento da florada, contribuindo para o aumento da produção do mel e da produtividade agrícola da região amazônica, com frutos melhores polinizados e, consequentemente, maiores.",,Instagram: https://www.instagram.com/beeappam/
119,Jiquitaia Produções,Maranhão,Comunicação e Entretenimento,Operação,"Jiquitaia Produções desenvolve soluções para projetos das mais variadas formas de expressão artística, além de promover eventos culturais, audiovisuais e agenciar artistas.",(63) 99971-2201,jiquitaiaproducoes@gmail.com
120,EcoSolux,Pará,Agricultura e Aquicultura,Protótipo,"Mais de 50% dos resíduos gerados diariamente nas casas são orgânicos. Todo esse resíduo descartado de forma indevida causa diversos problemas socioambientais, desde o desperdício de alimentos, impactos negativos no meio ambiente até a propagação de doenças. Para solucionar a falta de gestão de resíduos, a EcoSol visa oferecer um serviço de compostagem, transformando os resíduos orgânicos em adubo e biofertilizantes.",(91) 98735-2984,Instagram: https://www.instagram.com/eco.solux/
121,Pirarucu Da Mexiana,Pará,Agricultura e Aquicultura,Operação,"O Pirarucu Da Mexiana realiza o cultivo do Pirarucu nativo, com práticas de manejo sustentáveis, promovendo a reintrodução da espécie e a manutenção de ecossistemas ameaçados.",(91) 99173-1142,Instagram: https://www.instagram.com/pirarucudamexiana/
122,Track Things,Pará,Agricultura e Aquicultura,Operação,"Com foco em tecnologia da informação e engenharia de produção, a Track Things desenvolve sistemas e equipamentos inteligentes que se conectam com outros equipamentos e sistemas com expressiva melhora nas operações.",(11) 98764-7776,Instagram: https://www.instagram.com/track_things/
123,Deveras Amazônia,Pará,Alimentos e Bebidas,Operação,"O próximo projeto é a linha Sementes da Amazônia, que usa produtos desidratados como Açafé (bebida funcional do caroço de açaí) e cupulate.",(93) 99111-2611,Instagram: https://www.instagram.com/deveras_amazonia/
124,Flor de Jambu,Pará,Alimentos e Bebidas,Tração,"A Flor de Jambu é um canal de acesso a produtos amazônicos por meio de um modelo omnichannel, onde atuam com e-commerce especializado, loja física, marketplaces e centro logístico para distribuição, representação e armazenamento desses produtos.",(11) 99704-3223,LinkedIn: https://www.linkedin.com/company/flordejambu-com
125,Hidromel Uruçun da Amazônia,Pará,Alimentos e Bebidas,Tração,A Hidromel Uruçun é um negócio autossustentável que utiliza o mel das abelhas sem ferrão e fortalece a bioeconomia local e a cadeia produtiva da região.,(91) 98490-5523,Instagram: https://www.instagram.com/hidromelurucun/
126,Jambu Sinimbu,Pará,Alimentos e Bebidas,Operação,"Hoje, contam com uma variada cartela de produtos, como a cachaça de jambu com cumaru, molho de pimenta, conservas, vodka e o inusitado extrato de jambu Tremidão, utilizado em drinks exóticos e conhecido como um poderoso estimulante sexual tópico.",(91) 98154-0067,Instagram: https://www.instagram.com/jambusinimbu/
127,LioVitta,Pará,Alimentos e Bebidas,Tração,"A LioVitta é uma foodtech Amazônica que desenvolve e produz alimentos e bebidas liofilizadas. A liofilização é um tecnologia de conservação de alimentos que remove a água, mantendo intacto todo o valor nutricional e organoléptico do alimento in natura.",(91) 98596-3232,Instagram: https://www.instagram.com/liovitta_br/
128,Amazon Rhiira,Pará,Bioenergia e Biocombustíveis,Operação,"A empresa, já com pedido de patente, possui certificações da multinacional Magnetti Marelli, SEST/SENAT/PA, Bombeiros/PA e selo verde outorgado pelo ICMBio (Instituto Chico Mendes de Conservação e Biodiversidade).",(91) 99375-3827,Facebook: https://www.facebook.com/amazonrhiira/
129,BiHomun Energy,Pará,Bioenergia e Biocombustíveis,Protótipo,"A BiHomun Energy realiza a produção de biometano e biobutanol, biocombustíveis de baixa emissão de carbono feitos à base de vegetais e alimentos descartados, fornecidos por comunidades e cooperativas.",(27) 99297-4993,LinkedIn: https://www.linkedin.com/company/byhomun-energy/
130,UNAÍ BIOPAINÉIS SUSTENTÁVEIS LTDA,Pará,Casa e Construção,Protótipo,"A startup deseja, com a sua atuação, contribuir para a diminuição do desmatamento de flora nativa com uma produção sustentável e fazer produtos de qualidade com a cara da Amazônia.",(91) 99123-0808,LinkedIn: https://www.linkedin.com/in/una%C3%AD-%E2%80%93-ecologic-b451a8211/
131,Startup Triplo-S,Pará,Ecoturismo e Floresta,Protótipo,"A conexão entre Sellers e Travelers acontece de forma ágil e simples, com apenas alguns cliques. Travelers são turistas que buscam, reservam ou usam produtos turísticos sob medida. Essa janela de oportunidades potencializará o impacto positivo no destino por meio da conexão de turistas de todo o mundo com povos e comunidades na Amazônia.",,www.itripsx.com.br
132,Neuroprotect,Pará,"Fármacos, Fitoterápicos e Nutracêuticos",Protótipo,"Com uma equipe formada por neurocientistas, biólogos, agrônomos e engenheiros químicos, o modelo de negócios da startup é a transferência de tecnologia para empresas de biotecnologia e empresas farmacêuticas.",(93) 99107-0977,LinkedIn: https://www.linkedin.com/in/walace-gomes-leal-phd-in-exp-neuropathology-ceo-and-founder-neuroprotect-biotech-9b84892a/
133,Unlimited Bio Supplements,Pará,"Fármacos, Fitoterápicos e Nutracêuticos",Operação,"O objetivo principal da Unlimited Bio Supplements é trazer, para o mercado, produtos inovadores com princípios ativos da região amazônica que possuam comprovadamente algum benefício relacionado ao combate e controle de determinadas doenças e à melhoria do bem estar físico e mental.",(31) 99134-8886,Instagram: https://www.instagram.com/unlimitedbios/
134,Ekilibre Amazônia,Pará,"Higiene, Perfumaria e Cosméticos",Operação,A Ekilibre Amazônia produz artesanalmente 28 tipos de cosméticos e produtos de higiene pessoal sem conservantes e veganos. As matérias-primas são extraídas de maneira sustentável por famílias de ribeirinhos.,(11) 98906-6023,Instagram: https://www.instagram.com/ekilibreamazonia/
135,Paraoil,Pará,"Higiene, Perfumaria e Cosméticos",Operação,"A Paraoil é uma empresa especializada na extração de óleos e manteigas naturais à base de sementes extraídas da Floresta Amazônica, que fornece seus produtos para empresas do ramo cosmético e alimentício.",(91) 98874-0867,Instagram: https://www.instagram.com/paraoil_/
136,SCS Sustainability & Innovation,Pará,"Higiene, Perfumaria e Cosméticos",Protótipo,"O composto biológico é conhecido como biossurfactante (BS) e é produzido por bactérias eficientes, usando fontes renováveis da região amazônica como matéria-prima. Ele é uma alternativa ambientalmente aceitável para substituir os surfactantes químicos. Possuem, ainda, potencial para aplicações nas indústrias de higiene, de perfumaria, cosmética, farmacêutica, alimentícia, mineração, petrolífera e na biorremediação.",(71) 99266-1633,Instagram: https://www.instagram.com/biossurfactante/
137,Ver o Fruto,Pará,"Fármacos, Fitoterápicos e Nutracêuticos",Protótipo,"A Ver o Fruto desenvolveu um sistema de tratamento da água do rio com a semente do açaí, tornando-a própria para o consumo humano. Para ajudar as comunidades que não podem arcar com o valor do sistema, a empresa realiza a venda de sabonetes faciais produzidos com a semente residual do açaí: a cada sabonete vendido, R$1 é destinado à construção de um sistema para comunidades vulneráveis.",,Instagram: https://www.instagram.com/verofrutopa/
138,Radar e Tecnologia LTDA,Pará,Logística e Mobilidade,Protótipo,A Radar e Tecnologia deseja disponibilizar as melhores soluções em tecnologias de sinalização de navegação segura em embarcações de pequeno e médio porte nos rios da Amazônia.,(91) 99202-8842,https://www.radarnaval.com.br/
139,Cuia Co Lab,Pará,Moda e Ecodesign,Ideação,"A solução visa substituir materiais tóxicos que geralmente são usados nas casas e contribuem para a crise ambiental e fortalecer as comunidades artesãs locais, gerando nova fonte de renda.",,Instagram: https://www.instagram.com/cuiacolab/
140,Biogenic,Pará,Químicos e Novos Materiais,Operação,O projeto atual da empresa visa desenvolver outros materiais feitos a partir das conchas de ostras residuais do cultivo paraense.,(91) 98465-6386,biogenic0522@gmail.com
141,Biomimética Biotecnologia,Pará,Químicos e Novos Materiais,Protótipo,"O Revfood é uma película imperceptível ao olho humano, sem sabor, feita a partir de casca de frutas, que, ao ser despejada sobre o alimento, forma uma barreira protetora capaz de prolongar o tempo de prateleira.",(91) 98919-1415,Instagram: https://www.instagram.com/bio.mimetica/
142,Directto,Pará,Tecnologia da Informação,Protótipo,"A Directto tem o objetivo de conectar negócios e tornar a jornada de comercialização de alimentos mais transparente e ágil. Para isso, está desenvolvendo uma plataforma onde os produtores possam expor seus produtos e acessar as ferramentas e os serviços necessários para realizar a exportação sem burocracia.",(93) 99122-0020,LinkedIn: https://www.linkedin.com/company/directto-tech
143,NFTs da Amazônia,Pará,Tecnologia da Informação,Protótipo,"Utilizando uma tecnologia disruptiva (blockchain), a NFTs da Amazônia tem como objetivo oferecer treinamentos, consultorias e soluções de software para pessoas e empresas que precisam de transparência e segurança em seus processos.",(91) 98536-2394,Instagram: https://www.instagram.com/amazonia.nft/
144,Softsul Sistemas,Pará,Tecnologia da Informação,Tração,"Ele ainda permite a apuração de despesas relacionadas ao cultivo, por safra, fazenda, campo de produção/talhão, permitindo assim uma melhor precificação e comercialização dos produtos agrícolas aumentando a lucratividade.",(66) 3424-2661,LinkedIn: https://www.linkedin.com/in/softsulsistemasoficial/
145,Vita Digital Soluções,Pará,Tecnologia da Informação,Operação,"A Vita Digital é uma empresa de consultoria especializada em engenharia organizacional e tecnologias digitais. As soluções são focadas na geração de valor e maximização dos resultados do negócio dos clientes por meio da atuação em diferentes áreas de gestão e processos (gestão estratégica, gestão da inovação e gestão de projetos), além de apoio no processo de transformação digital.",(21) 98142-9373,www.vitadigital.com.br
146,Biotecland Rondônia,Rondônia,Agricultura e Aquicultura,Operação,"A Biotecland é uma startup de agronomia e biotecnologia especializada em microalgas para agricultura sustentável. Utilizando a agrobiotecnologia, a empresa desenvolve produtos com baixo custo para promover a agricultura regenerativa e a biodiversidade com o uso de microrganismos que melhoram a qualidade do solo, promovem resistência na planta e aumentam a produtividade.",(61) 99958-2067,Linkedin: https://www.linkedin.com/company/biotecland/
147,Bussola.farm,Rondônia,Agricultura e Aquicultura,Operação,"A Bussola.farm é uma startup responsável pela plataforma MaPeixe, que realiza o sensoriamento remoto e a geolocalização de criadores de peixes. Combinando dados gerados com tecnologias de ponta como satélites e somando os dados obtidos em pesquisas de campo, a empresa facilita a localização do piscicultor de forma simples e eficaz. Com os dados coletados, as empresas do agronegócio podem vender e prospectar novos clientes de forma mais eficiente.",(69) 99366-8699,FaceBook: https://www.facebook.com/bussola.farm
148,Coopax Produção Agroecológica,Rondônia,Agricultura e Aquicultura,Tração,"A Coopax Produção Agroecológica é uma cooperativa que visa ao desenvolvimento sustentável e bem-estar social para a comunidade em que está inserida, bem como em âmbito nacional. A cooperativa, ao lado de outros parceiros e da comunidade, propõe-se a criar ações efetivas de fortalecimento institucional, diálogo sociais, alternativas econômicas e socioambientais.",(69) 9996-0609,Facebook: https://www.facebook.com/coopax/
149,Laboratório M&S Biotechnology,Rondônia,Agricultura e Aquicultura,Protótipo,"O Laboratório M&S Biotechnology é uma empresa especializada em micropropagação de plantas in vitro, com foco em orquídeas. A empresa fornece orquídeas nativas da Amazônia com alta qualidade fitossanitária e padrão genético, além de serviço especializado em germinação e clonagem in vitro.",(69) 98441-1662,Instagram: www.instagram.com/labmstech
150,ReSeBa,Rondônia,Agricultura e aquicultura,Operação,"A ReSeBa, Rede de Sementes da Bioeconomia, é uma startup que busca conectar pessoas que coletam sementes da biodiversidade amazônica àquelas que precisam comprá-las. O objetivo é estruturar a cadeia de fornecimento, o armazenamento e o acesso aos mercados de sementes florestais nativas da Amazônia com o intuito de viabilizar, organizar e ampliar a capacidade de fornecimento de sementes para restauração ecológica e para a agricultura regenerativa.",(69) 99209-0258,Instagram: www.instagram.com/sementes_amazonia
151,Amazô Kombucha,Rondônia,Alimentos e bebidas,Tração,"A iniciativa tem o compromisso de produzir um kombucha de qualidade, estável, com baixo teor calórico e saboroso.",(69) 99912-1855,https://instagram.com/amazokombucha
152,Hub Conexões Alimentares,Rondônia,Alimentos e Bebidas,Ideação,"A Hub Conexões alimentares é um hub de agroindústrias de alimentos amazônicos com uma proposta inovadora e biossustentável que visa conectar os produtos fabricados ou elaborados por agricultores familiares e povos tradicionais à centros de comércio, gerando novas oportunidades de negócio e difundindo produtos oriundos de Rondônia e de toda a Região Norte.",(69) 99936-8567,samirborges588@gmail.com
153,BiHomun Energy,Rondônia,Bioenergia e Biocombustíveis,Protótipo,"A BiHomun Energy promove o uso de fontes renováveis de energia para incentivar um futuro sustentável e igualitário. A empresa presta consultoria de migração de processos industriais para uma matriz energética sustentável para indústrias,produzida com rejeitos agrícolas e seguindo as diretrizes de ESG (governança ambiental, social e corporativa).",(27) 99758-3011,Linkedin: https://www.linkedin.com/company/byhomun-energy
154,Made in Roça,Rondônia,Ecoturismo e Floresta,Protótipo,"Uma plataforma-vitrine de histórias dos saberes tradicionais amazônicos. Por meio da plataforma, o mundo poderá conhecer de fato a Amazônia: seu povo, suas tradições e seus saberes milenares. A plataforma visa dar protagonismo aos detentores dos saberes e gerar valor e renda para essas pessoas e para a comunidade na qual estão inseridas.",(69) 98128-0166,
155,Meu Pé de Árvore,Rondônia,Ecoturismo e Floresta,Tração,"A Meu Pé de Árvore é uma startup que viabiliza a recuperação de áreas degradadas por meio da restauração de ecossistemas na Amazônia e da implementação de sistemas produtivos regenerativos. Com apoio financeiro de empresas, os agricultores familiares da região atuam no plantio das árvores e utilizam o ativo florestal para autofinanciar a propriedade rural e a restauração do meio ambiente em um ciclo contínuo e saudável, proporcionando a manutenção de importantes serviços ecossistêmicos.",(69) 98113-2130,https://linktr.ee/meupedearvore
156,Saboaria Rondônia,Rondônia,"Higiene, Perfumaria e Cosméticos",Operação,"A Saboaria Rondônia foi inspirada no sonho e na persistência de mulheres empreendedoras rurais no interior de Rondônia. Com um trabalho idealizado e gerenciado por mulheres, a empresa cria produtos que aliam a preservação ambiental, o empoderamento feminino e o desenvolvimento socioeconômico. Utilizando a biodiversidade amazônica, elas criam itens de cuidados para a pele únicos e que oferecem uma experiência inesquecível. Para elas, muito além do cuidado com a pele, é importante também o cuidado com a natureza.",(69) 99209-5122,Facebook: www.facebook.com/saboariarondonia
